name;ingredients;ingredients_amount;location;servings;time;file_path
Meatloaf;Minced Mea,Egg,Onion,Milk,Bread Crumbs,Ketchup,Brown Sugar,Mustard,Salt;1 1/2 lbs ,1 ,1 ,1 cup ,1 cup ,1/3 cup ,2 tbsp ,2 tbsp , Combine the minced meat, onion, milk, bread crumbs and egg in a large bowl; season with ;1. Preheat the oven to 175�C. Grease a loaf pan. 2. Combine the minced meat, onion, milk, bread crumbs and egg in a large bowl; season with Salt and Black Pepper. Transfer into prepared loaf pan. 3. Mix ketchup, brown sugar, and mustard together in a small bowl until combined. Pour over the meatloaf evenly. 4. Bake in the oven until no longer pink in the centre - about 1 hour. ;USA;14;0;recipe-book-main\Recipes\American\USA\Meatloaf.md
Philadelphia Cheesesteak;Ribeye Steak,Salt,Black Pepper,Sweet Onion,Provolone Cheese,Hoagie Rolls,Unsalted Butter,Garlic,Mayonnaise;1 lb ,1/2 tsp ,1/2 tsp ,1 ,8 slices ,4 ,2 tbsp ,1 clove ,2-4 tbsp ;1. In a small bowl, stir together the softened butter with the garlic. Spread the garlic butter onto the cut sides of the roll. 2. Toast the buns on a large skillet on medium heat, until golden brown. Set aside. 3. Add 1 tbsp oil to the pan, and saut� diced onions until caramelised, then transfer to a bowl. 4. Increase to high heat, and add 1 tbsp oil. Spread the super thinly sliced steak in an even layer. Let brown for a couple of minutes, undisturbed. Then flip and season with salt and pepper. Stir in the caramelised onions. 5. Divide into even portions, and top each with 2 slices of cheese. Turn off the heat so the cheese will melt without overcooking the meat. 6. Spread a thin layer of mayonnaise on the toasted side of each roll. Working with one portion at a time, place a toasted bun over each portion, and use a spatula to scrape the cheesy beef into your bun as you flip it over. ;USA;14;0;recipe-book-main\Recipes\American\USA\Philadelphia Cheesesteak.md
Seafood Boil in a Bag;Salt,Red Potatoes,Corn,Garlic,Smoked Sausage,Yellow Onion,White Wine,Stock,Unsalted Butter,Hot Sauce,Lemon Pepper,Seafood Seasoning,Cajun Seasoning,Paprika,Cayenne Pepper,Button Mushrooms,Egg,Snow Crab,Shrimp,Lemon;2 tsp ,2 lbs ,2 ears ,1 head ,1 lb ,1 ,1/3 cup ,1/2 cup ,1 1/2 cup ,1/4 cup ,2 tbsp ,2 tbsp ,1 1/2 tbsp ,1 tbsp ,1 tsp ,8 oz ,4 hard-boiled ,4 clusters ,2 lbs ,2 ;1.  Place potatoes in a large pot and cover with water by about 3". Add 2 tsp salt, and bring to a boil. Boil for 5 minutes, then add corn and garlic. Return to a boil, and cook until the potatoes are tender (~10 minutes). Drain and set aside. 2. Heat a deep skillet or saucepan over medium heat, add sausage, and increase heat to medium-high. Cook until sausage is browned on both sides. Remove from pan, and set aside. 3. Preheat the oven to 400F (200C), with an oven rack set in the lower third of the oven. 4. Add the onion to the skillet with the sausage drippings, and cook, stirring constantly, until the onion begins to soften. Stir in the wine, and scrape the browned bits from the bottom of the pan; stir in water. 5. Add butter, hot sauce, lemon pepper, seafood and cajun seasonings, paprika, granulated garlic, and cayenne pepper to the skillet. Reduce heat to medium, and cook, stirring constantly, until the butter is melted and everything is well combined. Remove from heat. 6. Place the corn and potatoes in the oven bag first. Add the mushrooms, eggs, crab legs, shrimp, and sausage; and pour over the butter mixture. Squeeze two lemon halves into the bag. Tie bag tightly at the top, allowing room for the bag to fill with steam. Carefully toss the contents of the bag to coat everything with sauce, and place bag in a large baking dish. 7. Bake in the preheated oven until the bag has filled with steam, the shrimp is opaque, and the crab is cooked through (about 30 minutes). 8. Carefully cut open the bag, squeeze the remaining lemon over the top, and enjoy.  ;USA;18;0;recipe-book-main\Recipes\American\USA\Seafood Boil in a Bag.md
Mac & Cheese with Ham & Leek;Butter,Flour,Milk,Nutmeg,Pasta,Leek,Ham,Cheese,Roux;50 g ,50 g ,400 ml ,1 tsp ,400g ,400g ,200g ,175g , Melt the butter in a large pan and add the flour. Cook for 3 minutes until the mixture becomes a ;1. Melt the butter in a large pan and add the flour. Cook for 3 minutes until the mixture becomes a Roux. Gradually add the milk, and bring to a boil. Cook (while stirring) until it has become a thick sauce. Add nutmeg, Black Pepper and salt to taste. 2. Cook the pasta al dente to package instructions. Add the leek for the last minute.  3. Cut the ham into strips or cubes.  4. Add the pasta, leek, ham, and cheese to the sauce, and mix. Heat the entire dish for another 2 minutes.  ;American;13;� 30 minutes;recipe-book-main\Recipes\American\Mac & Cheese with Ham & Leek.md
(There Is No) Basic Chinese Sauce;Light Soy Sauce,Dark Soy Sauce,Oyster Sauce,Sugar,Corn Starch,Fresh Ginger,Garlic,Shaoxing Cooking Wine,5 Spices,Sesame Oil,Chinese Black Vinegar (Chinkiang);,,,,,,,,,,;1. Mix above ingredients in any proportion or combination you feel is right.  2. Add water if it is too thick. Let reduce if it is too liquid.  ;Chinese;1;0;recipe-book-main\Recipes\Asian\Chinese\(There Is No) Basic Chinese Sauce.md
Air Fryer Char Siu;Pork Butt,Fresh Ginger,Garlic,Char Siu sauce,Five Spices blend,White Pepper,Light Soy Sauce,Honey;2 lbs of ,1 inch of ,2 cloves of ,4 tbsp ,1 tbsp ,1 tsp ,1 tbsp ,*;1. Place pork butt into a mixing bowl, and incorporate the ginger, garlic, char siu sauce, fie spice powder, white pepper powder, and soy sauce. 2. Marinate overnight. 3. Preheat oven to 400F. 4. Cook for 15 minutes. Check in every 2-3 minutes to flip the pork *and to baste with the honey.*	 ;Chinese;1;0;recipe-book-main\Recipes\Asian\Chinese\Air Fryer Char Siu.md
Beef & Pepper Stirfry;Steak,Baking Soda,Light Soy Sauce,Dark Soy Sauce,Sesame Oil,Corn Starch,Oil,Garlic,Hot Pepper,Hot Pepper,Shaoxing Cooking Wine,Salt,Sugar,White Pepper,Chicken Broth,Rice;350g ,1/4 tsp ,3 tbsp ,1 tsp ,1/2 tsp ,1 tbsp ,3 tbsp ,3 cloves ,8 ,1 ,1 tbsp ,1/2 tsp ,1/2 tsp ,1/8 tsp ,1/4 cup , Add the beef back to the wok, along with any juices from the bowl. Add salt, sugar, the remaining light soy sauce, dark soy sauce, and white pepper. Stir-fry for another 1-2 minutes until the peppers turn darker. Serve hot. preferably with ;1. Add the flank steak, the baking soda, a third of the light soy sauce, the sesame oil, the cornstarch and 1 tsp vegetable oil to a bowl, and mix well. Set aside for 30 minutes. 2. Place a wok over high heat until almost smoking, then add the oil. Sear the beef until it's just barely browned. Transfer to a separate bowl, leaving any oil/fat in the wok. 3. Lower the heat to medium-high, and add the garlic and peppers. Stir-fry for a couple of seconds, then spread the shaoxing wine to deglaze. 4. Add the beef back to the wok, along with any juices from the bowl. Add salt, sugar, the remaining light soy sauce, dark soy sauce, and white pepper. Stir-fry for another 1-2 minutes until the peppers turn darker. Serve hot. preferably with Rice.  > [!hint] If you like more sauce, add the chicken stock to further de-glaze the wok and let the liquid reduce slightly. The cornstarch from the marinade will help thicken the sauce.  ;Chinese;14; 35 minutes prep, 10 minutes cooking;recipe-book-main\Recipes\Asian\Chinese\Beef & Pepper Stirfry.md
Dong Po Rou style Pork Belly;Pork Belly,Scallions,Fresh Ginger,Shaoxing Cooking Wine,Light Soy Sauce,Dark Soy Sauce,Sugar;900g slab of ,3 bunches of ,8 slices ,2 cups ,2/3 cup ,2 1/2 tbsp ,120g ;1. Blanch the slab of pork belly in boiling water for 1 minute, and drain. Cut into 5x5cm pieces, and set aside. 2. In a medium-sized pot, lay scallions on the bottom in a thick, even layer. The scallions should cover the entire bottom of the pot. Lay the ginger slices over the scallions. 3. Lay the pork belly skin-side down on top of this layer. 4. Pour shaoxing wine, light soy sauce, and dark soy sauce over the meat, and add the rock sugar. 5. Cover the pot and place over medium high heat, and bring to a boil. Once boiling, turn down to low heat and simmer for 90 minutes. 6. Turn the belly skin-side up, and let simmer for another 90 minutes.  ;Chinese;14;4 hours;recipe-book-main\Recipes\Asian\Chinese\Dong Po Rou style Pork Belly.md
Egg Drop Soup;Chicken Broth,Sesame Oil,Salt,Sugar,White Pepper,Turmeric,Corn Starch Slurry,Egg,Scallions,MSG;4 cups ,1/2 tsp ,3/4 tsp ,1/8 tsp ,1/8 tsp ,*1/2 tsp ,3 tbsp ,3 ,*1 ,1/4 tsp ;1. Bring the chicken stock to a simmer in a medium soup pot. Stir in the sesame oil, salt, sugar, white pepper, MSG, *and turmeric.* 2. Add the cornstarch slurry. > [!warning] Stir continuously while adding the cornstarch slurry. Otherwise, you'll get clumps of it in the soup. 3. Slowly drizzle in the egg.  Stir it slowly if you want large swirls of egg, or faster for smaller swirls.  4. Ladle into bowls and serve, *garnished with scallion*. ;Chinese;16;15 minutes;recipe-book-main\Recipes\Asian\Chinese\Egg Drop Soup.md
Kung Pao Chicken;Chicken Thigh Fillet,Cashew,Garlic,Bell Pepper,Scallions,Hoisin Sauce,Oyster Sauce,Sambal,Rice,Oil;350g ,30g ,2 cloves ,2 ,1 bushel ,1 tbsp ,1 tbsp ,1 tsp ,200g , Fry the chicken in a wok on medium high heat (preferably with some ;1. Cut the chicken thighs into bite-sized pieces, and mix in a heaping tablespoon of oyster sauce. Set aside. 2. Cut the bell peppers into cubes, and the scallions into rings. 3. Fry the chicken in a wok on medium high heat (preferably with some Oil) until brown and crispy. > [!warning] As counterintuitive as it is, don't wok the chicken just yet. Stirring it too much prevents it from becoming nice and crispy, we're just saving dishes here. 4. Add the bell peppers and 3/4 of the spring onion. Let sit as well, same as the chicken. After 4 minutes, stir to mix. 5. Add the hoisin sauce and the sambal. Stir to mix. 6. Serve on a plate of white rice, garnish with the remaining spring onions and cashews. ;Chinese;12;25 minutes;recipe-book-main\Recipes\Asian\Chinese\Kung Pao Chicken.md
Re Gan Mian (热干面);Tahini,Sesame Oil,Dark Soy Sauce,Light Soy Sauce,Sugar,Noodles,Garlic,Chilli Oil,Cilantro,Scallions,Chinese Black Vinegar,Preserved Mustard Stems (榨菜),Pickled Long Beans (酸豆角）;3 tbsp ,3 1/2 tbsp ,1 1/2 tsp ,1 tbsp ,1/2 tsp ,240g ,2 cloves ,,1/4 cup ,2 chopped ,1/2 tsp ,*1/4 cup ,*1/4 cup ;1. Add the sesame paste/tahini to a bowl. Gradually mix in 2 tbsp of sesame oil. 2. Add the soy sauces and the sugar. Mix until smooth. > [!tip]  > If the sauce is too thick, add lukewarm water until desired thickness is achieved. 1. Boil noodles per package instructions minus one minute. 2. Drain and toss with the remaining oil to prevent sticking. 3. Add *zha cai*, *suan dou jiou*, garlic, chilli oil, cilantro, scallions, vinegar and the sauce. 4. Serve hot. ;Chinese;1;20 minutes;recipe-book-main\Recipes\Asian\Chinese\Re Gan Mian (热干面).md
Red Braised Chicken (红烧鸡);Chicken Thigh Fillet,Corn Starch,Oil,Sugar,Ginger,Shaoxing Cooking Wine,Light Soy Sauce,Dark Soy Sauce,Scallions;900g ,1 tbsp ,4 tbsp ,25g ,3 slices ,1/4 cup ,2 tbsp ,2 tsp ,*2 ;1. Cut the chicken into large chunks. Add the cornstarch and water. Mix well, coat the chicken evenly in the mixture.  2. Mix in a quarter of the oil. 3. Preheat the wok until it starts to smoke lightly, and reduce the heat to low. Add the remaining oil along with the sugar. Let the sugar melt, while stirring.  4. Increase the heat to medium-high, and add the chicken pieces in a single layer. Don't stir until the chicken pieces are lightly browned. Flip and repeat. 5. Reduce the heat to medium. Add the ginger, shaoxing wine, light soy sauce, dark soy sauce and water. Cover and simmer for 8-10 minutes. > [!hint] If there is still a lot of liquid remaining after the 10 minutes, stir continuously until the liquid reduces to a rich sauce. 6. *Mix in the chopped scallion*, and serve. ;Chinese;14;0;recipe-book-main\Recipes\Asian\Chinese\Red Braised Chicken (红烧鸡).md
Zha Jiang Mian (炸酱面）;Minced Meat,Neutral Oil,Garlic,Ginger,Scallions,Shaoxing Cooking Wine,Granulated Sugar,Noodles,Ground Soybean Sauce,Sweet Bean Sauce,Light Soy Sauce,Dark Soy Sauce;3/4 lbs ,3 tbsp ,2 tbsp ,1 tbsp ,3 ,1/4 cup ,2 tsp ,,5 tbsp ,1/4 cup ,1 tbsp ,1/2 tsp ;1. Mince the garlic and ginger, and thinly slice the scallions. Save a little bit of the green portion for garnish. 2. Combine the ground soybean sauce, sweet bean sauce, light soy sauce, dark soy sauce and water in a bowl. 3. Heat oil in a wok on medium heat and cook the pork until the water has evaporated and the fat starts to brown the meat (6-8 min) 4. Add the garlic, ginger, and scallion to the pork, and sauté until fragrant. 5. Add the shaoxing wine, stir, and let evaporate. Once most of the wine has evaporated, add in the sauce. 6. Bring to a simmer, and sweeten with sugar. Cook until slightly thickened. (6-8 min) 7. Boil noodles 1 minute less than package instructions. 8. Serve in a bowl. Make sure not to add too much sauce, as it may be too salty. ;Chinese;12;25 minutes;recipe-book-main\Recipes\Asian\Chinese\Zha Jiang Mian (炸酱面）.md
Tandoori Chicken;Oil,Cilantro,Cumin,Tumeric,Cayenne Pepper,Garam Masala,Paprika,Yogurt,Lemon,Garlic,Fresh Ginger,Salt,Chicken Leg,Naan;3 tbsp ,1 tsp ,1 tsp ,1 tsp ,1 tsp ,1 tbsp ,1 tbsp ,1 cup ,2 tbsp ,4 cloves ,2 tbsp ,1 tsp ,4 whole , Serve with ;1. Heat the oil in a small pan over medium heat, then cook the cilantro, cumin, turmeric, cayenne, garam masala and paprika, until fragrant. Let cool. 2. Whisk the spices into yogurt, adding the lemon juice, garlic, salt, and ginger. 3. Score the chicken to the bone, and coat in the marinade. Cover and chill for 6-8 hours. 4. Take the chicken out of the marinade and shake off the excess.  5. Grill the chicken. First on high heat for 2-3 minutes, until it is brown on all sides, then on low-medium heat for 20-40 minutes. It is done when the juices run clear. 6. Let rest for at least 5 minutes before serving. 7. Serve with Naan, or with Rice. ;Indian;14;6 hours 30 minutes minimum, 8 hours 45 minutes maximum;recipe-book-main\Recipes\Asian\Indian\Tandoori Chicken.md
Beef Tataki;Sunflower Oil,Fillet Steak,Sesame Seed,Light Soy Sauce,Rice Vinegar,Sesame Oil,Chilli Oil,Ginger,Garlic,Scallions,Salt;1 tbsp ,300g ,,1 tbsp ,2 tbsp ,1 tsp ,1 tsp ,1/2 tsp ,*2 cloves ,*1 , Let the meat come to room temperature, pat dry, and season with ;1. Let the meat come to room temperature, pat dry, and season with Salt, Black Pepper, and the sesame seeds. Heat the sunflower oil in a frying pan, and sear the meat for one minute on both sides on high heat. The outside should be seared brown. 2. Put the meat in a freezer bag, and put into the freezer for about 30 minutes. 3. Meanwhile, mix the soy sauce, rice vinegar, sesame oil, chilli oil and ginger in a bowl.  4. Heat some more sunflower oil, and add the garlic slices to this. Fry for 2-3 minutes until the garlic is crispy and a golden brown. Pat dry, or let the oil drain on a paper towel. 5. Cut the meat into strips, as thin as possible. Serve with the sauce, *and garnish with the spring onion and garlic.* ;Japanese;12;1 hour;recipe-book-main\Recipes\Asian\Japanese\Beef Tataki.md
Chicken & Broccoli in Soy Dressing;Chicken Thigh Fillet,Lime Juice,Scallions,Garlic,Yellow Onion,Red Pepper,Ketjap Manis,Light Soy Sauce,Ginger Syrup,Rice;350g ,1 lime / 1 tbsp ,1 bushel ,2 cloves ,1 ,1 ,2 tbsp ,2 tbsp ,1 tbsp ,±175g ;1. Thoroughly mix the ketjap, soy sauce, garlic, red pepper, lime juice, and the ginger syrup. 2. Dice the thighs and mix with the dressing. 3. Prepare the rice to package instructions. 4. Cut the broccoli flowers off the stem, and cut the stem into cubes. Cook these for ±4.5 minutes. 5. Fruit the minced shallot/onion for about a minute in some oil. Add the chicken and dressing and fry until a golden brown, taking care to stir. 6. Add the broccoli to the chicken. 7. *Garnish with spring onion, an extra red pepper, and a slice of lime.*  ;Asian;12;30 minutes;recipe-book-main\Recipes\Asian\Chicken & Broccoli in Soy Dressing.md
Fried Soy with Vegetables;Tofu,Light Soy Sauce,Shaoxing Cooking Wine,Sesame Oil,Chicken Broth,Brown Sugar,Corn Starch,Scallions,Ginger,Garlic,Oil,Bok Choy,Carrot,Bell Pepper,Salt,Black Pepper;14-20oz ,3 tbsp ,2 1/2 tbsp ,3 tsp ,1/3 cup ,1 tsp ,1 tsp ,6 medium ,1 1/2 tbsp ,2 cloves ,1/4 cup ,9 oz ,2 ,1 , Add 2 more teaspoons of oil. Add the bok choy, cut-side down, and sprinkle lightly with , Add the tofu, bok choy, scallion greens and some more salt and ;1. Halve the tofu block lengthwise, and cut into 1-inch slices. Weigh down, and drain for 20 minutes. 2. On a large shallow dish, arrange the tofu into a single layer. In a bowl, combine 1 tbsp of the soy sauce, 1 tbsp of the shaoxing wine, half of the sesame oil, and whisk to incorporate. Pour over the tofu, turn, and let marinate for 15 minutes, 3. Meanwhile, in a small bowl, combine the remaining soy sauce, shaoxing wine, sesame oil, and the chicken broth, brown sugar, and corn starch. Whisk to blend, and set aside.  4. In another bowl, combine the scallion whites, ginger, garlic, and 2 tsp of neutral oil; stir to incorporate, an set aside. 5. In a large nonstick skillet over high heat, warm 2 tsp neutral oil. Add the tofu in a single layer, cook, until browned on the bottom (±3 minutes). Turn, and repeat. Transfer to a bowl and set aside. 6. Add 2 more teaspoons of oil. Add the bok choy, cut-side down, and sprinkle lightly with Salt until spotted with brown on the bottom. ±2 minutes. Turn, and repeat. Transfer to the bowl with tofu. 7. Add 2 more teaspoons of oil. Stir fry the carrots, bell pepper and some salt, for about 2 minutes. 8. Lower the heat to medium, add 4 more teaspoons of oil, and clear the centre of the skillet. Add the ginger-garlic mixture in the middle, and stir and mash until fragrant (±45 seconds). Whisk in the soy sauce mixture until thickened, 45 more seconds. 9. Add the tofu, bok choy, scallion greens and some more salt and Black Pepper to the skillet, and cook, stirring constantly, for about a minute.  ;Asian;13;±1 hour;recipe-book-main\Recipes\Asian\Fried Soy with Vegetables.md
